RecordNumber,Zipcode,ZipCodeType,City,State,LocationType,Latitude,Longitude,Xaxis,Yaxis,Zaxis,WorldRegion,Country,LocationText,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,AvgWages,Notes
41224,96101,STANDARD,ALTURAS,CA,PRIMARY,41.43,-120.53,-0.38,-0.64,0.66,NA,US,"Alturas, CA",NA-US-CA-ALTURAS,FALSE,2232,3969,57354288,14450.6,
41228,96103,STANDARD,BLAIRSDEN-GRAEAGLE,CA,PRIMARY,39.78,-120.65,-0.39,-0.66,0.63,NA,US,"Blairsden-graeagle, CA",NA-US-CA-BLAIRSDEN-GRAEAGLE,FALSE,855,1434,19238081,13415.7,
41234,96140,PO BOX,CARNELIAN BAY,CA,PRIMARY,39.22,-120.08,-0.38,-0.67,0.63,NA,US,"Carnelian Bay, CA",NA-US-CA-CARNELIAN BAY,FALSE,590,929,18602568,20024.3,
41240,96104,STANDARD,CEDARVILLE,CA,PRIMARY,41.48,-120.14,-0.37,-0.64,0.66,NA,US,"Cedarville, CA",NA-US-CA-CEDARVILLE,FALSE,366,627,8407559,13409.2,
41243,96107,STANDARD,COLEVILLE,CA,PRIMARY,38.47,-119.48,-0.38,-0.68,0.62,NA,US,"Coleville, CA",NA-US-CA-COLEVILLE,FALSE,473,903,14067458,15578.6,
41247,96109,STANDARD,DOYLE,CA,PRIMARY,39.94,-120.06,-0.38,-0.66,0.64,NA,US,"Doyle, CA",NA-US-CA-DOYLE,FALSE,345,622,10601655,17044.5,
41252,96113,PO BOX,HERLONG,CA,PRIMARY,40.2,-120.19,-0.38,-0.66,0.64,NA,US,"Herlong, CA",NA-US-CA-HERLONG,FALSE,447,767,17524001,22847.5,
41255,96141,PO BOX,HOMEWOOD,CA,PRIMARY,39.1,-120.19,-0.39,-0.67,0.63,NA,US,"Homewood, CA",NA-US-CA-HOMEWOOD,FALSE,349,540,7550330,13982.1,
41257,96142,PO BOX,TAHOMA,CA,PRIMARY,39.02,-120.14,-0.39,-0.67,0.62,NA,US,"Tahoma, CA",NA-US-CA-TAHOMA,FALSE,359,590,10865121,18415.5,
41260,96114,STANDARD,JANESVILLE,CA,PRIMARY,40.28,-120.5,-0.38,-0.65,0.64,NA,US,"Janesville, CA",NA-US-CA-JANESVILLE,FALSE,1297,2530,62014559,24511.7,
41262,96143,PO BOX,KINGS BEACH,CA,PRIMARY,39.24,-120.04,-0.38,-0.67,0.63,NA,US,"Kings Beach, CA",NA-US-CA-KINGS BEACH,FALSE,1638,2971,44589600,15008.3,
41267,96118,STANDARD,LOYALTON,CA,PRIMARY,39.63,-120.21,-0.38,-0.66,0.63,NA,US,"Loyalton, CA",NA-US-CA-LOYALTON,FALSE,626,1177,20296656,17244.4,
41269,96120,STANDARD,MARKLEEVILLE,CA,PRIMARY,38.73,-119.84,-0.38,-0.67,0.62,NA,US,"Markleeville, CA",NA-US-CA-MARKLEEVILLE,FALSE,399,676,11724012,17343.2,
41277,96122,STANDARD,PORTOLA,CA,PRIMARY,39.79,-120.46,-0.38,-0.66,0.64,NA,US,"Portola, CA",NA-US-CA-PORTOLA,FALSE,1762,3165,51612483,16307.3,
41288,96150,STANDARD,SOUTH LAKE TAHOE,CA,PRIMARY,38.84,-120.01,-0.38,-0.67,0.62,NA,US,"South Lake Tahoe, CA",NA-US-CA-SOUTH LAKE TAHOE,FALSE,6127,9905,196471308,19835.6,
41290,96151,PO BOX,SOUTH LAKE TAHOE,CA,PRIMARY,38.94,-119.97,-0.38,-0.67,0.62,NA,US,"South Lake Tahoe, CA",NA-US-CA-SOUTH LAKE TAHOE,FALSE,3300,5277,90634287,17175.3,
41297,96155,PO BOX,SOUTH LAKE TAHOE,CA,PRIMARY,38.78,-120.07,-0.39,-0.67,0.62,NA,US,"South Lake Tahoe, CA",NA-US-CA-SOUTH LAKE TAHOE,FALSE,583,896,18243171,20360.7,
41301,96156,PO BOX,SOUTH LAKE TAHOE,CA,PRIMARY,38.94,-119.97,-0.38,-0.67,0.62,NA,US,"South Lake Tahoe, CA",NA-US-CA-SOUTH LAKE TAHOE,FALSE,1835,3161,45162431,14287.4,
41308,96158,PO BOX,SOUTH LAKE TAHOE,CA,PRIMARY,38.92,-119.96,-0.38,-0.67,0.62,NA,US,"South Lake Tahoe, CA",NA-US-CA-SOUTH LAKE TAHOE,FALSE,2075,3210,59761679,18617.3,
41311,96128,STANDARD,STANDISH,CA,PRIMARY,40.35,-120.38,-0.38,-0.65,0.64,NA,US,"Standish, CA",NA-US-CA-STANDISH,FALSE,283,541,12612557,23313.4,
41312,96127,PO BOX,SUSANVILLE,CA,PRIMARY,40.41,-120.65,-0.38,-0.65,0.64,NA,US,"Susanville, CA",NA-US-CA-SUSANVILLE,FALSE,309,535,15941377,29797,
41313,96130,STANDARD,SUSANVILLE,CA,PRIMARY,40.57,-120.61,-0.38,-0.65,0.65,NA,US,"Susanville, CA",NA-US-CA-SUSANVILLE,FALSE,6136,11282,242062604,21455.6,
41318,96145,PO BOX,TAHOE CITY,CA,PRIMARY,39.18,-120.14,-0.38,-0.67,0.63,NA,US,"Tahoe City, CA",NA-US-CA-TAHOE CITY,FALSE,2529,3750,81192608,21651.4,
41321,96146,STANDARD,OLYMPIC VALLEY,CA,PRIMARY,39.19,-120.22,-0.39,-0.66,0.63,NA,US,"Olympic Valley, CA",NA-US-CA-OLYMPIC VALLEY,FALSE,776,1088,29369357,26993.9,
41326,96148,PO BOX,TAHOE VISTA,CA,PRIMARY,39.24,-120.05,-0.38,-0.67,0.63,NA,US,"Tahoe Vista, CA",NA-US-CA-TAHOE VISTA,FALSE,387,632,10908505,17260.3,
41328,96160,PO BOX,TRUCKEE,CA,PRIMARY,39.32,-120.18,-0.38,-0.66,0.63,NA,US,"Truckee, CA",NA-US-CA-TRUCKEE,FALSE,2475,4083,92658825,22693.8,
41329,96161,STANDARD,TRUCKEE,CA,PRIMARY,39.33,-120.24,-0.38,-0.66,0.63,NA,US,"Truckee, CA",NA-US-CA-TRUCKEE,FALSE,4479,7896,219459715,27793.8,
41337,96162,PO BOX,TRUCKEE,CA,PRIMARY,39.3,-120.31,-0.39,-0.66,0.63,NA,US,"Truckee, CA",NA-US-CA-TRUCKEE,FALSE,1671,2826,57007504,20172.5,
41340,96134,STANDARD,TULELAKE,CA,PRIMARY,41.8,-121.46,-0.38,-0.63,0.66,NA,US,"Tulelake, CA",NA-US-CA-TULELAKE,FALSE,891,1711,21486249,12557.7,
41346,96137,STANDARD,WESTWOOD,CA,PRIMARY,40.26,-121.02,-0.39,-0.65,0.64,NA,US,"Westwood, CA",NA-US-CA-WESTWOOD,FALSE,1445,2564,36252943,14139.2,
44648,90201,STANDARD,BELL GARDENS,CA,PRIMARY,33.97,-118.15,-0.39,-0.73,0.55,NA,US,"Bell Gardens, CA",NA-US-CA-BELL GARDENS,FALSE,34444,67468,858843510,12729.6,
44651,90202,PO BOX,BELL,CA,PRIMARY,33.96,-118.15,-0.39,-0.73,0.55,NA,US,"Bell, CA",NA-US-CA-BELL,FALSE,367,648,8849089,13656,
44653,90270,STANDARD,MAYWOOD,CA,PRIMARY,33.98,-118.18,-0.39,-0.73,0.55,NA,US,"Maywood, CA",NA-US-CA-MAYWOOD,FALSE,9705,19023,244273712,12841,
44655,90209,PO BOX,BEVERLY HILLS,CA,PRIMARY,34.07,-118.39,-0.39,-0.72,0.56,NA,US,"Beverly Hills, CA",NA-US-CA-BEVERLY HILLS,FALSE,590,810,38779630,47876.1,
44656,90210,STANDARD,BEVERLY HILLS,CA,PRIMARY,34.09,-118.41,-0.39,-0.72,0.56,NA,US,"Beverly Hills, CA",NA-US-CA-BEVERLY HILLS,FALSE,10430,16984,1586883528,93434,
44657,90211,STANDARD,BEVERLY HILLS,CA,PRIMARY,34.06,-118.38,-0.39,-0.72,0.56,NA,US,"Beverly Hills, CA",NA-US-CA-BEVERLY HILLS,FALSE,5438,8596,471144192,54809.7,
44658,90212,STANDARD,BEVERLY HILLS,CA,PRIMARY,34.06,-118.4,-0.39,-0.72,0.56,NA,US,"Beverly Hills, CA",NA-US-CA-BEVERLY HILLS,FALSE,8121,12548,1372449954,109376,
44659,90213,PO BOX,BEVERLY HILLS,CA,PRIMARY,34.05,-118.4,-0.39,-0.72,0.55,NA,US,"Beverly Hills, CA",NA-US-CA-BEVERLY HILLS,FALSE,665,902,33832756,37508.6,
44660,90220,STANDARD,COMPTON,CA,PRIMARY,33.87,-118.24,-0.39,-0.73,0.55,NA,US,"Compton, CA",NA-US-CA-COMPTON,FALSE,18762,34287,511244926,14910.8,
44664,90221,STANDARD,COMPTON,CA,PRIMARY,33.87,-118.21,-0.39,-0.73,0.55,NA,US,"Compton, CA",NA-US-CA-COMPTON,FALSE,18585,36005,462648300,12849.6,
44667,90222,STANDARD,COMPTON,CA,PRIMARY,33.91,-118.23,-0.39,-0.73,0.55,NA,US,"Compton, CA",NA-US-CA-COMPTON,FALSE,11025,20801,271987553,13075.7,
44670,90224,PO BOX,COMPTON,CA,PRIMARY,33.87,-118.26,-0.39,-0.73,0.55,NA,US,"Compton, CA",NA-US-CA-COMPTON,FALSE,568,977,16425081,16811.8,
44673,90230,STANDARD,CULVER CITY,CA,PRIMARY,33.99,-118.39,-0.39,-0.72,0.55,NA,US,"Culver City, CA",NA-US-CA-CULVER CITY,FALSE,15572,25528,765127473,29972.1,
44675,90231,PO BOX,CULVER CITY,CA,PRIMARY,33.99,-118.39,-0.39,-0.72,0.55,NA,US,"Culver City, CA",NA-US-CA-CULVER CITY,FALSE,603,877,23629268,26943.3,
44676,90232,STANDARD,CULVER CITY,CA,PRIMARY,34.02,-118.39,-0.39,-0.72,0.55,NA,US,"Culver City, CA",NA-US-CA-CULVER CITY,FALSE,8201,13073,465313191,35593.5,
44678,90239,PO BOX,DOWNEY,CA,PRIMARY,33.93,-118.11,-0.39,-0.73,0.55,NA,US,"Downey, CA",NA-US-CA-DOWNEY,FALSE,422,697,14000533,20086.8,
44679,90240,STANDARD,DOWNEY,CA,PRIMARY,33.95,-118.12,-0.39,-0.73,0.55,NA,US,"Downey, CA",NA-US-CA-DOWNEY,FALSE,10793,19687,423212222,21497,
44680,90241,STANDARD,DOWNEY,CA,PRIMARY,33.94,-118.13,-0.39,-0.73,0.55,NA,US,"Downey, CA",NA-US-CA-DOWNEY,FALSE,18134,32425,666605601,20558.4,
44681,90242,STANDARD,DOWNEY,CA,PRIMARY,33.92,-118.14,-0.39,-0.73,0.55,NA,US,"Downey, CA",NA-US-CA-DOWNEY,FALSE,17094,31123,596927649,19179.6,
44682,90245,STANDARD,EL SEGUNDO,CA,PRIMARY,33.91,-118.4,-0.39,-0.72,0.55,NA,US,"El Segundo, CA",NA-US-CA-EL SEGUNDO,FALSE,9379,15421,653697247,42390.1,
44683,90247,STANDARD,GARDENA,CA,PRIMARY,33.89,-118.29,-0.39,-0.73,0.55,NA,US,"Gardena, CA",NA-US-CA-GARDENA,FALSE,20744,35920,654005584,18207.3,
44684,90248,STANDARD,GARDENA,CA,PRIMARY,33.88,-118.27,-0.39,-0.73,0.55,NA,US,"Gardena, CA",NA-US-CA-GARDENA,FALSE,5122,8825,217193866,24611.2,
44685,90249,STANDARD,GARDENA,CA,PRIMARY,33.89,-118.31,-0.39,-0.73,0.55,NA,US,"Gardena, CA",NA-US-CA-GARDENA,FALSE,12307,21361,429606136,20111.7,
44686,90250,STANDARD,HAWTHORNE,CA,PRIMARY,33.91,-118.34,-0.39,-0.73,0.55,NA,US,"Hawthorne, CA",NA-US-CA-HAWTHORNE,FALSE,38638,68109,1304535489,19153.6,
44689,90251,PO BOX,HAWTHORNE,CA,PRIMARY,33.91,-118.36,-0.39,-0.73,0.55,NA,US,"Hawthorne, CA",NA-US-CA-HAWTHORNE,FALSE,820,1320,27317104,20694.8,
44690,90255,STANDARD,HUNTINGTON PARK,CA,PRIMARY,33.97,-118.21,-0.39,-0.73,0.55,NA,US,"Huntington Park, CA",NA-US-CA-HUNTINGTON PARK,FALSE,28269,54716,708223920,12943.6,
44693,90301,STANDARD,INGLEWOOD,CA,PRIMARY,33.95,-118.36,-0.39,-0.72,0.55,NA,US,"Inglewood, CA",NA-US-CA-INGLEWOOD,FALSE,14733,25753,411155541,15965.3,
44694,90302,STANDARD,INGLEWOOD,CA,PRIMARY,33.97,-118.35,-0.39,-0.72,0.55,NA,US,"Inglewood, CA",NA-US-CA-INGLEWOOD,FALSE,12372,20745,383291347,18476.3,
44695,90303,STANDARD,INGLEWOOD,CA,PRIMARY,33.93,-118.33,-0.39,-0.73,0.55,NA,US,"Inglewood, CA",NA-US-CA-INGLEWOOD,FALSE,10227,18370,278355821,15152.7,
44696,90304,STANDARD,INGLEWOOD,CA,PRIMARY,33.93,-118.36,-0.39,-0.73,0.55,NA,US,"Inglewood, CA",NA-US-CA-INGLEWOOD,FALSE,10651,20300,265698564,13088.6,
44698,90305,STANDARD,INGLEWOOD,CA,PRIMARY,33.95,-118.33,-0.39,-0.73,0.55,NA,US,"Inglewood, CA",NA-US-CA-INGLEWOOD,FALSE,7493,12037,277201510,23029.1,
44701,90308,PO BOX,INGLEWOOD,CA,PRIMARY,33.95,-118.35,-0.39,-0.72,0.55,NA,US,"Inglewood, CA",NA-US-CA-INGLEWOOD,FALSE,272,423,8637854,20420.5,
44706,90260,STANDARD,LAWNDALE,CA,PRIMARY,33.88,-118.35,-0.39,-0.73,0.55,NA,US,"Lawndale, CA",NA-US-CA-LAWNDALE,FALSE,14318,25618,468058114,18270.7,
44708,90001,STANDARD,LOS ANGELES,CA,PRIMARY,33.97,-118.24,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,18561,36200,421709138,11649.4,
44711,90002,STANDARD,LOS ANGELES,CA,PRIMARY,33.94,-118.24,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,16133,30920,352278879,11393.2,
44714,90003,STANDARD,LOS ANGELES,CA,PRIMARY,33.96,-118.27,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,21982,41878,463744071,11073.7,
44716,90004,STANDARD,LOS ANGELES,CA,PRIMARY,34.07,-118.31,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,25057,41632,891085777,21403.9,
44718,90005,STANDARD,LOS ANGELES,CA,PRIMARY,34.05,-118.31,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,13294,22281,369162475,16568.5,
44720,90006,STANDARD,LOS ANGELES,CA,PRIMARY,34.04,-118.29,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,19691,34995,398768368,11395,
44722,90007,STANDARD,LOS ANGELES,CA,PRIMARY,34.02,-118.28,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,12367,20179,262370773,13002.2,
44724,90008,STANDARD,LOS ANGELES,CA,PRIMARY,34,-118.34,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,13333,21174,426689767,20151.6,
44728,90009,PO BOX,LOS ANGELES,CA,PRIMARY,33.94,-118.38,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,1137,1715,49947779,29124.1,
44732,90010,STANDARD,LOS ANGELES,CA,PRIMARY,34.06,-118.31,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,2055,3294,122651252,37234.7,
44734,90011,STANDARD,LOS ANGELES,CA,PRIMARY,34,-118.25,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,31937,63123,678782526,10753.3,
44735,90012,STANDARD,LOS ANGELES,CA,PRIMARY,34.06,-118.24,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,8834,13839,288859252,20872.8,
44737,90013,STANDARD,LOS ANGELES,CA,PRIMARY,34.04,-118.24,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,3186,3973,115494378,29069.8,
44739,90014,STANDARD,LOS ANGELES,CA,PRIMARY,34.04,-118.25,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,2511,3272,91984035,28112.5,
44740,90015,STANDARD,LOS ANGELES,CA,PRIMARY,34.03,-118.26,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,6186,10390,196952937,18956,
44744,90016,STANDARD,LOS ANGELES,CA,PRIMARY,34.02,-118.35,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,20134,34391,570516671,16589.1,
44746,90017,STANDARD,LOS ANGELES,CA,PRIMARY,34.05,-118.26,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,6831,11309,229419093,20286.4,
44748,90018,STANDARD,LOS ANGELES,CA,PRIMARY,34.02,-118.31,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,19138,33029,480700270,14553.9,
44751,90019,STANDARD,LOS ANGELES,CA,PRIMARY,34.04,-118.34,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,26684,43752,871676252,19923.1,
44753,90020,STANDARD,LOS ANGELES,CA,PRIMARY,34.06,-118.31,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,14996,25029,526453188,21033.7,
44755,90021,STANDARD,LOS ANGELES,CA,PRIMARY,34.03,-118.24,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,1075,1621,41457695,25575.4,
44757,90022,STANDARD,LOS ANGELES,CA,PRIMARY,34.02,-118.15,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,24562,46198,622984671,13485.1,
44761,90023,STANDARD,LOS ANGELES,CA,PRIMARY,34.01,-118.2,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,16014,30786,386600337,12557.7,
44764,90024,STANDARD,LOS ANGELES,CA,PRIMARY,34.06,-118.43,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,15349,22009,1258492976,57180.8,
44766,90025,STANDARD,LOS ANGELES,CA,PRIMARY,34.04,-118.44,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,23935,34463,,,
44770,90026,STANDARD,LOS ANGELES,CA,PRIMARY,34.07,-118.26,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,29721,46916,954653353,20348.1,
44774,90027,STANDARD,LOS ANGELES,CA,PRIMARY,34.12,-118.28,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,23660,33916,982450409,28967.2,
44777,90028,STANDARD,LOS ANGELES,CA,PRIMARY,34.1,-118.32,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,13672,18687,379215740,20293,
44779,90029,STANDARD,LOS ANGELES,CA,PRIMARY,34.09,-118.29,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,16273,26270,401892441,15298.5,
44782,90031,STANDARD,LOS ANGELES,CA,PRIMARY,34.08,-118.2,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,15058,26797,396598065,14800.1,
44785,90032,STANDARD,LOS ANGELES,CA,PRIMARY,34.08,-118.17,-0.39,-0.73,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,18296,32538,554013323,17026.7,
44786,90033,STANDARD,LOS ANGELES,CA,PRIMARY,34.04,-118.21,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,15460,28923,357180523,12349.4,
44788,90034,STANDARD,LOS ANGELES,CA,PRIMARY,34.02,-118.39,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,28191,42620,1244231596,29193.6,
44790,90035,STANDARD,LOS ANGELES,CA,PRIMARY,34.05,-118.38,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,13469,20647,708020742,34291.7,
44792,90036,STANDARD,LOS ANGELES,CA,PRIMARY,34.06,-118.35,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,18339,26227,1069043429,40761.2,
44796,90037,STANDARD,LOS ANGELES,CA,PRIMARY,34,-118.28,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,20572,37811,428398470,11330,
44798,90038,STANDARD,LOS ANGELES,CA,PRIMARY,34.08,-118.32,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,12126,18877,330114199,17487.6,
44803,90039,STANDARD,LOS ANGELES,CA,PRIMARY,34.11,-118.26,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,14690,22944,645960187,28153.8,
44805,90040,STANDARD,LOS ANGELES,CA,PRIMARY,33.99,-118.14,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,5102,9350,153990923,16469.6,
44808,90041,STANDARD,LOS ANGELES,CA,PRIMARY,34.13,-118.2,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,12572,20920,541197806,25869.9,
44810,90042,STANDARD,LOS ANGELES,CA,PRIMARY,34.11,-118.19,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,25542,43949,851843674,19382.5,
44812,90043,STANDARD,LOS ANGELES,CA,PRIMARY,33.98,-118.33,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,19284,32064,615346996,19191.2,
44816,90044,STANDARD,LOS ANGELES,CA,PRIMARY,33.95,-118.29,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,31106,56462,698006487,12362.4,
44819,90045,STANDARD,LOS ANGELES,CA,PRIMARY,33.95,-118.4,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,17824,29336,1086342467,37031,
44823,90046,STANDARD,LOS ANGELES,CA,PRIMARY,34.1,-118.37,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,26948,34474,1384367441,40156.9,
44826,90047,STANDARD,LOS ANGELES,CA,PRIMARY,33.95,-118.3,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,21554,36265,600392169,16555.7,
44828,90048,STANDARD,LOS ANGELES,CA,PRIMARY,34.07,-118.37,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,12691,17194,753464171,43821.3,
44833,90049,STANDARD,LOS ANGELES,CA,PRIMARY,34.08,-118.49,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,19260,29275,2124002456,72553.5,
44836,90050,PO BOX,LOS ANGELES,CA,PRIMARY,34.12,-118.2,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,256,407,6497396,15964.1,
44837,90051,PO BOX,LOS ANGELES,CA,PRIMARY,34.06,-118.24,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,383,609,15763823,25884.8,
44843,90056,STANDARD,LOS ANGELES,CA,PRIMARY,33.98,-118.37,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,4421,7060,232623389,32949.5,
44847,90057,STANDARD,LOS ANGELES,CA,PRIMARY,34.06,-118.27,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,12404,21531,278373802,12929,
44849,90058,STANDARD,LOS ANGELES,CA,PRIMARY,34,-118.21,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,1285,2407,39636827,16467.3,
44851,90059,STANDARD,LOS ANGELES,CA,PRIMARY,33.92,-118.24,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,13711,25507,310497390,12173,
44855,90061,STANDARD,LOS ANGELES,CA,PRIMARY,33.92,-118.27,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,10076,18477,238903309,12929.8,
44858,90062,STANDARD,LOS ANGELES,CA,PRIMARY,34,-118.3,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,12548,22057,300291630,13614.3,
44860,90063,STANDARD,LOS ANGELES,CA,PRIMARY,34.04,-118.18,-0.39,-0.73,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,18911,35693,477209438,13369.8,
44862,90064,STANDARD,LOS ANGELES,CA,PRIMARY,34.03,-118.43,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,13940,22483,1105519048,49171.3,
44864,90065,STANDARD,LOS ANGELES,CA,PRIMARY,34.1,-118.22,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,19947,34536,749994392,21716.3,
44867,90066,STANDARD,LOS ANGELES,CA,PRIMARY,34,-118.43,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,27259,43203,1310888864,30342.5,
44870,90067,STANDARD,LOS ANGELES,CA,PRIMARY,34.05,-118.41,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,3606,5575,1433083360,257055,
44872,90068,STANDARD,LOS ANGELES,CA,PRIMARY,34.13,-118.33,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,11769,15853,763067439,48133.9,
44874,90069,STANDARD,WEST HOLLYWOOD,CA,PRIMARY,34.09,-118.38,-0.39,-0.72,0.56,NA,US,"West Hollywood, CA",NA-US-CA-WEST HOLLYWOOD,FALSE,14177,17126,1147697730,67014.9,
44878,90071,STANDARD,LOS ANGELES,CA,PRIMARY,34.05,-118.25,-0.39,-0.72,0.55,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,639,964,75762361,78591.7,
44891,90076,PO BOX,LOS ANGELES,CA,PRIMARY,34.06,-118.31,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,269,393,5595069,14236.8,
44892,90077,STANDARD,LOS ANGELES,CA,PRIMARY,34.1,-118.45,-0.39,-0.72,0.56,NA,US,"Los Angeles, CA",NA-US-CA-LOS ANGELES,FALSE,4285,7412,623152506,84073.5,
